Score;Dart 1;Dart 2;Dart 3;Display;;
170;T20;T20;Bullseye;T20 , T20 , Bullseye;;
167;T20;T19;Bullseye;T20 , T19 , Bullseye;;
164;T20;T18;Bullseye;T20 , T18 , Bullseye;;
161;T20;T17;Bullseye;T20 , T17 , Bullseye;;
160;T20;T20;D20;T20 , T20 , D20;;
159;Da's Pech;Finish weg;;Da's Pech , Finish weg;;
158;T20;T20;D19;T20 , T20 , D19;;
157;T20;T19;D20;T20 , T19 , D20;;
156;T20;T20;D18;T20 , T20 , D18;;
155;T20;T15;Bullseye;T20 , T15 , Bullseye;;
154;T20;T18;D20;T20 , T18 , D20;;
153;T20;T19;D18;T20 , T19 , D18;;
152;T20;T20;D16;T20 , T20 , D16;;
151;T20;T17;D20;T20 , T17 , D20;;
150;T20;T18;D18;T20 , T18 , D18;;
149;T20;T19;D16;T20 , T19 , D16;;
148;T20;T16;D20;T20 , T16 , D20;;
147;T20;T17;D18;T20 , T17 , D18;;
146;T20;T18;D16;T20 , T18 , D16;;
145;T20;T15;D20;T20 , T15 , D20;;
144;T20;T20;D12;T20 , T20 , D12;;
143;T20;T17;D16;T20 , T17 , D16;;
142;T20;T14;D20;T20 , T14 , D20;;
141;T20;T15;D18;T20 , T15 , D18;;
140;T20;T16;D16;T20 , T16 , D16;;
139;T20;T13;D20;T20 , T13 , D20;;
138;T20;T14;D18;T20 , T14 , D18;;
137;T17;T18;D16;T17 , T18 , D16;;
136;T20;T20;D8;T20 , T20 , D8;;
135;T20;T15;D15;T20 , T15 , D15;;
134;T20;T14;D16;T20 , T14 , D16;;
133;T20;T19;D8;T20 , T19 , D8;;
132;T20;T20;D6;T20 , T20 , D6;;
131;T20;T13;D16;T20 , T13 , D16;;
130;T20;T18;D8;T20 , T18 , D8;;
129;T20;T19;D6;T20 , T19 , D6;;
128;T18;T14;D16;T18 , T14 , D16;;
127;T19;T18;D8;T19 , T18 , D8;;
126;T19;T19;D6;T19 , T19 , D6;;
125;Single bull;T20;D20;Single bull , T20 , D20;;
124;T20;D16;D16;T20 , D16 , D16;;
123;T19;T16;D9;T19 , T16 , D9;;
122;T18;T20;D4;T18 , T20 , D4;;
121;T20;T15;D8;T20 , T15 , D8;;
120;T20;20;D20;T20 , 20 , D20;;
119;T19;T10;D16;T19 , T10 , D16;;
118;T20;18;D20;T20 , 18 , D20;;
117;T20;17;D20;T20 , 17 , D20;;
116;T20;16;D20;T20 , 16 , D20;;
115;T20;15;D20;T20 , 15 , D20;;
114;T20;14;D20;T20 , 14 , D20;;
113;T20;13;D20;T20 , 13 , D20;;
112;T20;20;D16;T20 , 20 , D16;;
112;T20;12;D20;T20 , 12 , D20;;
111;T20;19;D16;T20 , 19 , D16;;
110;T20;18;D16;T20 , 18 , D16;;
109;T20;17;D16;T20 , 17 , D16;;
108;T20;16;D16;T20 , 16 , D16;;
107;T19;18;D16;T19 , 18 , D16;;
106;T20;14;D16;T20 , 14 , D16;;
105;T20;13;D16;T20 , 13 , D16;;
104;T18;18;D16;T18 , 18 , D16;;
